Date,close,high,low,open,volume
2005-01-03,81.17459869384766,82.15975943174442,80.90469044350309,82.02480273253629,55748000
2005-01-04,80.18270874023438,81.33656177754456,79.91954954653589,81.2825790844595,69167600
2005-01-05,79.62940979003906,80.46612105387662,79.6226606654712,80.12198777394659,65667300
2005-01-06,80.03426361083984,80.3986390884641,79.79809574980743,79.91955424234885,47814700
2005-01-07,79.91954040527344,80.45260785535159,79.71035878051342,80.27716669692872,55847700
2005-01-10,80.29740142822266,80.60779412689926,79.85205202485716,79.85205202485716,56563300
2005-01-11,79.74407958984375,80.12194800892738,79.61587202705277,80.0544722409583,63099700
2005-01-12,80.00723266601562,80.18941774062519,79.29872428549582,79.89252335429588,72720500
2005-01-13,79.36626434326172,80.11525771008004,79.28529027860651,80.05452587457,55537500
2005-01-14,79.7845687866211,79.98025212906948,79.46068302179515,79.60238368741543,42032500
2005-01-18,80.61454010009766,80.71575633764252,79.58888977681475,79.65637070055914,57391700
2005-01-19,79.7710952758789,80.64829082337302,79.76434615260058,80.58756415808605,54378900
2005-01-20,79.28526306152344,79.75759873968212,79.14356235807583,79.54842224622224,72049300
2005-01-21,78.7994155883789,79.62263346998037,78.71169759125176,79.48093279089565,63160400
2005-01-24,78.64424133300781,79.17730371841586,78.52278284249218,79.00861165648153,58441900
2005-01-25,78.86688232421875,79.26499812291962,78.75892212075378,78.88712968868528,68245000
2005-01-26,79.10308837890625,79.35274934978871,78.9748807572703,79.1638150535295,57195100
2005-01-27,79.23799133300781,79.45391684590189,78.93434785014969,79.07604848535483,55878800
2005-01-28,79.23799133300781,79.31896533086946,78.68468188446235,79.27847575790348,60738900
2005-01-31,79.73059844970703,79.79132510556276,79.42694972621271,79.58889262323322,52532700
2005-02-01,80.23664855957031,80.35135786002745,79.69008309326418,79.79129930169644,49841200
2005-02-02,80.47958374023438,80.695509312141,80.22992285438492,80.33788306630238,52468900
2005-02-03,80.27043151855469,80.40538825927545,80.00727230924078,80.33790731487844,48837100
2005-02-04,81.12738037109375,81.26233194757282,80.28392014791794,80.29741324633679,50024600
2005-02-07,81.01940155029297,81.32304512103258,80.94517665112164,81.14086000820318,45412000
2005-02-08,81.1138916015625,81.41079128219197,81.01942445737552,81.08690025349861,39263500
2005-02-09,80.506591796875,81.30281847387515,80.4661073525086,81.25558490609009,55279400
2005-02-10,80.7967300415039,80.98566428391587,80.47284423967541,80.74275250658049,45858600
2005-02-11,81.49174499511719,81.67393527358519,80.60780039002908,80.76974330016662,53133000
2005-02-14,81.43104553222656,81.55250404241481,81.2960939200503,81.43779465725758,32432100
2005-02-15,81.73465728759766,81.93708977481516,81.43101370484341,81.51198772934481,43852700
2005-02-16,81.78863525390625,81.95732726750182,81.42425988677122,81.5997010223707,55523000
2005-02-17,81.12738037109375,81.86962433787393,81.120631247848,81.8021485496344,58124000
2005-02-18,81.2353286743164,81.29606047846517,80.90469375684124,81.13411243278306,47723300
2005-02-22,80.02751922607422,81.28933779842066,80.01402612524755,80.90472007394105,80697600
2005-02-23,80.60103607177734,80.68201008561648,80.04098254062185,80.25015897461711,68292600
2005-02-24,81.13411712646484,81.18809981148183,80.28391300377221,80.45934900796912,68563600
2005-02-25,81.93707275390625,82.09901562119641,81.09361281249984,81.15433945720706,60899900
2005-02-28,81.39730072021484,81.8493994078836,80.99918988184501,81.74818313010482,69381300
2005-03-01,81.80215454101562,81.9978327968204,81.49850574958879,81.52549709647604,47294400
2005-03-02,81.76167297363281,82.2744983186914,81.41079572579706,81.48502065000581,64226500
2005-03-03,81.7953872680664,82.25422976719317,81.44450498446082,82.09228686987545,61230800
2005-03-04,82.8143081665039,82.88178396073134,82.18002437500522,82.35546555845502,56168500
2005-03-07,82.85477447509766,83.16516717905205,82.59161533156953,82.76705647661227,43442400
2005-03-08,82.54438781738281,82.99648123573114,82.3959380028631,82.77380651395157,44362000
2005-03-09,81.6266860961914,82.51737965367849,81.61993697470561,82.30145409877468,73263600
2005-03-10,81.80888366699219,81.9843248158773,81.2420809294632,81.78189232500432,65149000
2005-03-11,81.2353286743164,82.13277145553515,81.08013489896092,81.85611407188213,57976500
2005-03-14,81.74141693115234,81.75491517767597,81.16111588438018,81.3837906193661,36336400
2005-03-15,81.06663513183594,81.95732877407072,81.02615069521175,81.93033743363065,62438500
2005-03-16,80.37837982177734,81.08013928010351,80.22993001258324,80.76974141647648,74874200
2005-03-17,80.54033660888672,80.79674668382167,80.28392653395177,80.5065961380468,62584200
