date,asset,regime,y_true,baseline_pred,lr_prob,rf_prob,xgb_prob
2015-01-02,SPY,0,0,1,0.509841360665749,0.5415085080721553,0.5249954
2015-01-05,SPY,0,0,1,0.5248197183308034,0.5791748644689324,0.52079237
2015-01-06,SPY,0,1,1,0.5154048757321359,0.5597453348413263,0.6032609
2015-01-07,SPY,1,1,1,0.5105502751586775,0.48578814384434876,0.34375247
2015-01-08,SPY,1,0,1,0.5273320081671585,0.5825167421673919,0.5839736
2015-01-09,SPY,1,0,1,0.5527110333274204,0.498294330696491,0.5248152
2015-01-12,SPY,1,0,1,0.5484825509664826,0.5666723907640917,0.58058184
2015-01-13,SPY,1,1,1,0.5698856703791558,0.5272461322097584,0.6223313
2015-01-14,SPY,1,0,1,0.560747370178291,0.5797832441642121,0.65624225
2015-01-15,SPY,1,1,1,0.5277543851119837,0.49249451391034144,0.42426252
2015-01-16,SPY,0,0,1,0.5414621601261365,0.6019436451518229,0.5712515
2015-01-20,SPY,0,1,1,0.5289763451722469,0.4692161689775794,0.3723711
2015-01-21,SPY,0,1,1,0.5271316455435296,0.4630741532573659,0.33067498
2015-01-22,SPY,0,0,1,0.5378321978556935,0.6001347922629237,0.64983475
2015-01-23,SPY,0,1,1,0.535095027720397,0.5411017291001542,0.55505306
2015-01-26,SPY,0,0,1,0.5145841741083746,0.5177391726640472,0.55568
2015-01-27,SPY,0,0,1,0.5347482384958478,0.5783390128588223,0.6481289
2015-01-28,SPY,0,1,1,0.53783923897953,0.6542393665996046,0.69678116
2015-01-29,SPY,0,0,1,0.5151916766037089,0.5764208854730406,0.6497787
2015-01-30,SPY,0,1,1,0.538498523710032,0.5384142632509922,0.4594395
2015-02-02,SPY,1,1,1,0.5196567587998494,0.4582749886685334,0.3714236
2015-02-03,SPY,0,1,1,0.5290064499813855,0.5662136658419663,0.5478982
2015-02-04,SPY,0,1,1,0.5494202689708522,0.4737820268825372,0.5086298
2015-02-05,SPY,0,0,1,0.5241457061621327,0.5437472920057348,0.6212865
2015-02-06,SPY,0,0,1,0.5320562908350946,0.5283110384113978,0.5842142
2015-02-09,SPY,0,1,1,0.5217432454656755,0.5275399020667523,0.52309716
2015-02-10,SPY,0,1,1,0.5134991189206887,0.5260556028811976,0.56765664
2015-02-11,SPY,0,1,1,0.5216982820389671,0.5179010334547973,0.54854155
2015-02-12,SPY,0,1,1,0.5208740105115298,0.6571776133604458,0.7328545
2015-02-13,SPY,0,1,1,0.5321540088180993,0.6742663658133771,0.71477485
2015-02-17,SPY,0,1,1,0.5236334745826299,0.6002289451034285,0.6132543
2015-02-18,SPY,0,1,1,0.5202451816122283,0.5361274105699207,0.50001127
2015-02-19,SPY,0,1,1,0.524296973097631,0.5578207019412461,0.54539114
2015-02-20,SPY,0,1,1,0.5246458950565779,0.5810050036130605,0.70114225
2015-02-23,SPY,0,1,1,0.5093575261599906,0.5417090354723874,0.48922318
2015-02-24,SPY,0,0,1,0.5078941224519173,0.5426511042484282,0.5786052
2015-02-25,SPY,0,0,1,0.522453288429853,0.6195797380222995,0.6392782
2015-02-26,SPY,0,0,1,0.5353679897463289,0.641310960931126,0.60516495
2015-02-27,SPY,0,1,1,0.5394221986096283,0.5643120041294197,0.51308966
2015-03-02,SPY,0,0,1,0.5454405271682332,0.5645978266485542,0.59900045
2015-03-03,SPY,0,0,1,0.5581712574390777,0.5695959416897081,0.5432349
2015-03-04,SPY,0,0,1,0.55722602809521,0.562682187802642,0.56087774
2015-03-05,SPY,0,0,1,0.5387123900260153,0.555298725641824,0.53531337
2015-03-06,SPY,0,1,1,0.5927076109169092,0.686718589018223,0.75905925
