date,asset,regime,y_true,baseline_pred,lr_prob,rf_prob,xgb_prob
2015-01-02,SPY,0,0,1,0.5147327450145549,0.5333058258266804,0.53918016
2015-01-05,SPY,0,0,1,0.5257817423294812,0.505823081862039,0.54854006
2015-01-06,SPY,0,1,1,0.5187113948635689,0.514943801704922,0.533475
2015-01-07,SPY,0,1,1,0.5170913480775929,0.5094719264156236,0.5126834
2015-01-08,SPY,0,0,1,0.5311049424681864,0.5489115417074069,0.5678981
2015-01-09,SPY,0,0,1,0.5507567996825209,0.5269037901460193,0.52852553
2015-01-12,SPY,0,0,1,0.5470860794236443,0.5402060279063758,0.5415695
2015-01-13,SPY,0,1,1,0.5655190376062291,0.5485633061957583,0.5482304
2015-01-14,SPY,0,0,1,0.5580140727910831,0.5487536174223805,0.57138664
2015-01-15,SPY,0,1,1,0.5306002304875855,0.50715814386764,0.50363684
2015-01-16,SPY,0,0,1,0.5436138644177313,0.5666291140833856,0.58397996
2015-01-20,SPY,0,1,1,0.5326081326300633,0.5235663742957172,0.51506335
2015-01-21,SPY,0,1,1,0.5310892038593752,0.524688843156194,0.51305926
2015-01-22,SPY,0,0,1,0.5398503102225588,0.5809642146577485,0.5856804
2015-01-23,SPY,0,1,1,0.5358907380770237,0.5269517767543985,0.5276784
2015-01-26,SPY,0,0,1,0.5194095336738737,0.5233198802154602,0.52635795
2015-01-27,SPY,0,0,1,0.5346154012556377,0.5317141612149257,0.53902215
2015-01-28,SPY,0,1,1,0.5370150112662369,0.5408336130452636,0.57976425
2015-01-29,SPY,0,0,1,0.5199257345602855,0.5467205943241977,0.5605077
2015-01-30,SPY,0,1,1,0.5377873439097588,0.5218490246045752,0.52141833
2015-02-02,SPY,0,1,1,0.524393381814164,0.5099163615088279,0.51333106
2015-02-03,SPY,0,1,1,0.5329753949128466,0.5269295799377398,0.55167866
2015-02-04,SPY,0,1,1,0.5485049949887429,0.5194430205698692,0.51744586
2015-02-05,SPY,0,0,1,0.5284683769359165,0.5406130269220644,0.5572842
2015-02-06,SPY,0,0,1,0.5332528355170052,0.5340760627980747,0.5296053
2015-02-09,SPY,0,1,1,0.5249606848183511,0.5262179060556315,0.52125716
2015-02-10,SPY,0,1,1,0.5192497588957508,0.5367162661318825,0.5402516
2015-02-11,SPY,0,1,1,0.5252658187296553,0.5246888860309518,0.5297948
2015-02-12,SPY,0,1,1,0.5253088440723909,0.5844570239029101,0.6287929
2015-02-13,SPY,0,1,1,0.5345093560861786,0.5738176690823973,0.61334914
2015-02-17,SPY,0,1,1,0.5269880278339132,0.5492880588198977,0.57259005
2015-02-18,SPY,0,1,1,0.5239328389362017,0.527092825539943,0.5190757
2015-02-19,SPY,0,1,1,0.5270474485399038,0.5285278142458683,0.52768236
2015-02-20,SPY,0,1,1,0.5271976348496238,0.5469281603906698,0.5752464
2015-02-23,SPY,0,1,1,0.514720103756582,0.5267742460876496,0.53685
2015-02-24,SPY,0,0,1,0.5137134903138674,0.5329899678780368,0.5604666
2015-02-25,SPY,0,0,1,0.5261282867538329,0.5551390247593221,0.57957894
2015-02-26,SPY,0,0,1,0.5375246822136415,0.555402044744371,0.5708513
2015-02-27,SPY,0,1,1,0.5404108072937786,0.5482728817506761,0.59292567
2015-03-02,SPY,0,0,1,0.5471214769795887,0.5558336473754558,0.55572975
2015-03-03,SPY,0,0,1,0.5565932592524289,0.5623377473143834,0.5798112
2015-03-04,SPY,0,0,1,0.5558045561375364,0.5459276535139308,0.5530343
2015-03-05,SPY,0,0,1,0.5416076854393106,0.5359837590120954,0.5533906
2015-03-06,SPY,0,1,1,0.5841746011964276,0.5853135579086314,0.616927
2015-03-09,SPY,0,0,1,0.5441971089354297,0.5363498181550717,0.5515033
2015-03-10,SPY,0,0,1,0.5729796058103296,0.5395655553916588,0.5647297
2015-03-11,SPY,0,1,1,0.5515618048662303,0.5166122291237418,0.5255504
2015-03-12,SPY,0,0,1,0.5477298643295355,0.5532648890862197,0.54616034
2015-03-13,SPY,0,1,1,0.5699626335271151,0.5394023232510542,0.56362563
2015-03-16,SPY,0,1,1,0.5560690494737145,0.5803213414705088,0.5757394
2015-03-17,SPY,0,1,1,0.5476382349678824,0.5296227477223293,0.5204275
2015-03-18,SPY,0,0,1,0.572413839596728,0.586994435364408,0.5858509
2015-03-19,SPY,0,1,1,0.54848131957679,0.5364452248918692,0.52432144
