date,asset,regime,y_true,baseline_pred,lr_prob,rf_prob,xgb_prob
2015-01-02,QQQ,0,0,1,0.5083623880392371,0.465008138331562,0.50009096
2015-01-05,QQQ,0,0,1,0.4828415712627703,0.47926784555571567,0.49458322
2015-01-06,QQQ,0,1,1,0.46911723614210754,0.5060918844312359,0.5108677
2015-01-07,QQQ,0,1,1,0.5136724374308282,0.5355770836524664,0.5219315
2015-01-08,QQQ,0,0,1,0.5368978585279635,0.5576336788913008,0.5489133
2015-01-09,QQQ,0,0,1,0.524278748755235,0.5016577933078774,0.5094593
2015-01-12,QQQ,0,0,1,0.5313013675228899,0.5256493162984724,0.51292026
2015-01-13,QQQ,0,1,1,0.5444547392406881,0.5673813065628035,0.5141367
2015-01-14,QQQ,0,0,1,0.5268265648078378,0.5706955224803647,0.51879567
2015-01-15,QQQ,0,1,1,0.47873216986356704,0.4995049892455726,0.51061875
2015-01-16,QQQ,0,1,1,0.5196904720070498,0.5080149721788292,0.51790553
2015-01-20,QQQ,0,1,1,0.5328414072603594,0.5885240470070041,0.55853
2015-01-21,QQQ,0,1,1,0.5308154032210073,0.5541320117335755,0.54738706
2015-01-22,QQQ,0,1,1,0.5500975651273148,0.534480726312548,0.54569876
2015-01-23,QQQ,0,0,1,0.5394724456412291,0.48875134594638986,0.47055784
2015-01-26,QQQ,0,0,1,0.5363912274524361,0.5239956001348507,0.50966316
2015-01-27,QQQ,0,0,1,0.5281471684447541,0.5563129544297183,0.5251663
2015-01-28,QQQ,0,1,1,0.5356400155921177,0.529874604374026,0.51102144
2015-01-29,QQQ,0,0,1,0.5177385538483548,0.5549486724078462,0.52674264
2015-01-30,QQQ,0,1,1,0.4993940622761604,0.4901851041446655,0.50396776
2015-02-02,QQQ,0,1,1,0.5143374819020808,0.5273147562546856,0.5187934
2015-02-03,QQQ,0,1,1,0.5264405858430687,0.5325266689070206,0.54328996
2015-02-04,QQQ,0,1,1,0.5255367633366371,0.4898045686064837,0.50789374
2015-02-05,QQQ,0,0,1,0.5282992388417074,0.6456186257541867,0.5622604
2015-02-06,QQQ,0,1,1,0.5248696012547217,0.4404429574873564,0.50171334
2015-02-09,QQQ,0,1,1,0.5227133769489298,0.42202650246044265,0.5058411
2015-02-10,QQQ,0,1,1,0.5349752335983489,0.5824340053577188,0.5489489
2015-02-11,QQQ,0,1,1,0.529980209192048,0.5441389398035716,0.54262745
2015-02-12,QQQ,0,1,1,0.532261769992214,0.6357838787362474,0.5782567
2015-02-13,QQQ,0,1,1,0.5362611389565614,0.6222233491624276,0.58662874
2015-02-17,QQQ,0,1,1,0.5375862786956976,0.5142328843249228,0.5105177
