date,asset,regime,y_true,baseline_pred,lr_prob,rf_prob,xgb_prob
2015-01-02,SPY_rolling,1,0,1,0.5323326653122238,0.5981661243331035,0.6351602
2015-01-05,SPY_rolling,1,0,1,0.5101325175359431,0.5420880254225137,0.52683187
2015-01-06,SPY_rolling,1,1,1,0.5103216185134196,0.4835058181421879,0.47370914
2015-01-07,SPY_rolling,1,1,1,0.553924804338877,0.5140015776645458,0.3995637
2015-01-08,SPY_rolling,1,0,1,0.593679572812194,0.6221042396855012,0.67212886
2015-01-09,SPY_rolling,1,0,1,0.5770039484910165,0.5816687848950358,0.48394367
2015-01-12,SPY_rolling,1,0,1,0.5489371454640107,0.6311547314706267,0.47251266
2015-01-13,SPY_rolling,1,1,1,0.5484724492944576,0.6427722613133322,0.6989935
2015-01-14,SPY_rolling,1,0,1,0.538604006621261,0.5829639265838421,0.57670313
2015-01-15,SPY_rolling,1,1,1,0.5200885819548763,0.40370962238402824,0.33993733
2015-01-16,SPY_rolling,1,0,1,0.5682543821607136,0.6026446122810466,0.511837
2015-01-20,SPY_rolling,0,1,1,0.5558792751088457,0.5451763257939071,0.52743036
2015-01-21,SPY_rolling,0,1,1,0.5634456926163458,0.5339860083033419,0.38532627
2015-01-22,SPY_rolling,0,0,1,0.590482917684744,0.7079122129315923,0.78036636
2015-01-23,SPY_rolling,0,1,1,0.5507521059334113,0.5785814601096154,0.42668277
2015-01-26,SPY_rolling,0,0,1,0.5494827186258635,0.6492743900863212,0.6395292
2015-01-27,SPY_rolling,1,0,1,0.5271143990973064,0.5764585460708438,0.49857616
2015-01-28,SPY_rolling,1,1,1,0.5146627758707724,0.5918125712295351,0.63195
2015-01-29,SPY_rolling,1,0,1,0.5489467843346607,0.6870806920586827,0.78001034
2015-01-30,SPY_rolling,1,1,1,0.5315911220241517,0.5798236979360061,0.6306106
2015-02-02,SPY_rolling,1,1,1,0.5697686498295367,0.4597598651535993,0.29929158
2015-02-03,SPY_rolling,1,1,1,0.5916888644864876,0.6037055682414831,0.56425
2015-02-04,SPY_rolling,1,1,1,0.5686030888162731,0.5839331924180693,0.52489424
2015-02-05,SPY_rolling,1,0,1,0.5800827667696739,0.6886217969571252,0.73775053
2015-02-06,SPY_rolling,0,0,1,0.5521853558778553,0.5670699099027672,0.63008463
2015-02-09,SPY_rolling,0,1,1,0.5389966436291462,0.5698450225944562,0.4501692
2015-02-10,SPY_rolling,0,1,1,0.5669279851124817,0.5346867455495262,0.42322043
2015-02-11,SPY_rolling,0,1,1,0.5578760222283624,0.5883589257358502,0.63353777
2015-02-12,SPY_rolling,0,1,1,0.579947430300739,0.741436486734324,0.8143895
2015-02-13,SPY_rolling,0,1,1,0.5792409875110067,0.7868482990209039,0.8770671
2015-02-17,SPY_rolling,0,1,1,0.5626382901803973,0.6248148042499369,0.7472184
2015-02-18,SPY_rolling,0,1,1,0.5583268286052094,0.611714276475504,0.5851731
2015-02-19,SPY_rolling,0,1,1,0.552725369046697,0.6465815923290961,0.61984843
2015-02-20,SPY_rolling,0,1,1,0.5676452983001111,0.6015613588217867,0.7702638
2015-02-23,SPY_rolling,0,1,1,0.5545305860466851,0.5780420444900304,0.56635123
2015-02-24,SPY_rolling,0,0,1,0.5580425463056684,0.591543324875204,0.73636997
